	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
TCGA-41-3915-01	0.0	0.0	1.0289594	0.19937485	0.0	0.0	0.0	0.0	0.13164279	0.0	0.0	0.0	0.40655214	0.9014214	0.0	0.0	0.23260656	0.0	0.025404071	0.7452419	0.0	0.0	0.0	0.0	0.0	0.0	0.35009006	0.044758946	0.0	1.0514909	0.0	0.0	0.62328863	0.0	0.0	0.9173113	0.0	1.0674078	0.5403822	0.18723169	0.0	0.21757454	0.2966438	0.563531	0.74185133	0.0	0.67866486	0.05169654
TCGA-06-5412-01	0.0	0.0	0.14651771	0.23327065	0.4798919	0.0	0.36734918	0.0	0.0	0.0	0.0	0.7389464	0.0	0.0	0.006690489	0.0	0.5979793	0.0	0.2742539	0.0	0.0	0.0056468826	0.52178633	0.0	0.062064167	0.40308833	0.0	0.0	0.0	0.32085863	0.61703515	0.0	0.7160819	0.0	0.22382827	0.0	0.76334006	0.57773036	0.28761536	0.10958053	0.0	0.39567992	0.0	0.0	0.0031584848	0.0	0.5322536	0.0
TCGA-26-5135-01	0.0	0.2248076	0.49013022	0.0	0.41271687	0.0	0.20383492	0.0	0.1967368	0.0	0.32758856	0.5558494	0.2597203	0.0	0.2631411	0.0	0.08898257	0.116575494	0.0	0.7271562	0.0	0.35459524	0.078927636	0.1820697	0.0	0.6436937	0.1629743	0.0	0.0	0.0	0.842262	0.0	0.44296905	0.0	0.058472354	0.0	0.13341697	0.0	0.0	0.0	0.20026675	0.37864715	0.0	0.16773136	0.0	0.35359994	0.44402105	0.0
TCGA-16-1045-01	0.44364518	0.0	1.3584977	0.0	0.7043817	0.06071817	0.49600053	0.010511272	0.0	0.0	0.0	0.2198178	0.0	0.0	0.0	0.0	0.39703795	0.0	0.43989626	0.0	0.0	0.0	0.5501735	0.0	0.09580617	0.0	0.7160128	0.7364784	0.0	1.198189	0.29201537	0.0	0.23689093	0.0	0.28701794	0.14889781	0.0	0.29131395	1.5339935	0.7743954	0.0	0.0	0.0	0.17263857	0.0	0.0	0.5895207	0.0
TCGA-06-0141-01	0.0	0.0	0.30876952	0.19368379	1.4539503	0.0	1.049158	1.6284602	0.0	0.35276318	0.0	0.9697602	0.0	0.0	0.111036	0.66394573	1.1812649	0.5849542	0.8780213	0.0	0.0	0.07681799	0.105547905	0.0	0.0	0.0	0.0	0.45944333	0.0	0.844755	0.79414433	0.19708651	0.036111135	0.0	0.45595542	0.0	0.87132233	0.43669885	0.19831978	0.7081741	0.0	0.17598659	0.0	0.0	0.0	0.0	0.7511895	0.0
TCGA-06-2557-01	1.127635	1.2050077	1.0727314	0.0	0.23224589	0.0	0.83028007	1.3606355	0.0	0.0	0.0	0.0	0.02045399	0.385764	0.0	0.0	1.1250048	0.6951648	0.0	1.0413014	0.0	2.2823243	0.592623	0.0	0.60130674	0.0	0.0	0.0	0.0	0.9900736	0.0	0.0	0.519095	1.1287626	0.0	0.0071601886	0.96838444	1.4996406	0.36890787	2.3848364	0.99813193	0.0	0.0	0.0	0.43584508	0.0	0.9276229	0.0
TCGA-06-0157-01	0.0	0.0	0.283322	0.0	0.04238607	0.0	0.85402244	0.46551728	0.0	0.0	0.0	0.47670233	0.0	0.27510378	0.17708243	0.07323365	0.43070558	0.14444901	0.0	0.0	0.6683762	0.6719257	0.0	0.52336246	0.22578561	0.0	0.0	0.0	0.05412157	0.0	0.0	0.0	0.81434506	0.06063638	0.4606399	0.0	0.6433934	0.0	0.22333664	0.103371404	0.29371893	0.3517026	0.4152072	0.0	0.0	0.12947111	0.2898105	0.14891984
TCGA-28-1753-01	0.0	0.46350256	0.774236	0.20193198	0.19076109	0.08545474	0.27052322	0.51067156	0.0	0.0	0.029527696	0.04160101	0.53635645	0.7064171	0.0	0.0	0.6190642	0.0	0.0	0.08368191	0.18517025	0.93009144	0.0	0.0	0.17756076	0.18324088	0.34587893	0.0	0.0	0.0	0.0	0.0010408115	0.336425	0.1719147	0.2851623	0.0	0.87527984	0.73684007	0.0	0.0	0.79796106	0.27508634	0.075225644	0.0	0.0	0.0	0.029156512	0.124762826
TCGA-26-5139-01	0.0	0.23179287	0.09083062	0.15663877	0.52715343	0.28218803	0.4502406	0.0	0.0	0.0	0.28789344	0.20167707	0.084156744	0.15223685	0.0013885793	0.275337	0.06899502	0.0	0.0018143337	0.0	0.27384686	0.67534167	0.0	0.21329021	0.26640794	0.08136912	0.22649398	0.0	0.054072212	0.0	0.0	0.0	0.3198319	0.116992444	0.5652749	0.0	0.5787593	0.20392457	0.73190314	0.0	0.0	0.12821294	0.0	0.0	0.0	0.0	0.0	0.09535285
TCGA-26-5136-01	0.9957851	0.32301235	0.049437046	0.64352274	0.5679265	0.0	1.0280226	0.0	0.07389976	0.0	0.0	0.0	0.63199174	0.66683006	0.14476444	0.0	0.30589107	0.0	0.0	0.3152753	0.59212613	0.122351795	0.08443739	0.0	0.1399802	0.0	0.0	0.0	0.0	0.826242	0.0	0.0	0.020806871	0.0	0.0	0.0	0.0	0.29384646	0.0	0.24222426	0.014606218	0.0	0.25504535	0.0	0.0	0.0	0.0	0.42003196
TCGA-28-2509-01	0.0	0.0	0.0	0.0	1.9199789	0.0	0.30033237	1.8423051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44059885	0.9740737	0.5969498	0.0	1.5830061	0.0	1.3209319	0.0	0.0	0.0	0.0	0.0	0.54167616	3.1031032	0.19686829	1.6576203	0.0	2.8318417	0.17353456	0.3491161	1.623835	2.0609672	0.0	0.49660602	2.8491082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8802583
TCGA-06-0168-01	0.0	0.0	0.4943771	0.0	0.0	0.0	0.6682217	1.3479059	0.0	0.0	0.0	1.301292	0.9436372	1.2124035	0.0	1.0667247	1.0741029	0.0	0.0	0.45409334	0.7876137	0.0	0.0	0.0	0.0	0.0	0.0	0.3776147	0.0737554	0.93670976	0.0	0.6764646	0.74705726	0.0	0.0	1.1128498	0.50565916	0.42116657	0.49608526	0.0	0.46148512	0.28138402	0.12323883	0.61569965	0.5433491	0.0	0.22519107	0.0
TCGA-76-4928-01	0.0	0.0	0.1021786	0.0	1.1981184	0.0	0.430678	0.40063867	0.0	0.017330527	0.076415285	0.9386089	0.0	0.0	0.0	0.07801093	0.8313617	0.50159514	0.0	0.0	0.15269917	0.13204883	0.0	0.0	0.0	0.13279152	0.0	0.4242113	0.519794	0.0	1.2643659	0.014570481	0.48254845	0.0	0.93854976	0.10891294	0.910393	0.31624648	0.76431334	0.0	0.0	0.0	0.0	0.4436357	0.20408498	0.08681782	0.63995373	0.0
TCGA-32-5222-01	0.0	0.0	0.0	0.0	0.840843	0.7914641	0.68911743	0.34909022	0.0	0.16628988	0.0	0.08245709	0.0	0.0	0.0	0.34720305	0.64027566	0.56948644	0.0	0.0	0.5157679	0.0	0.08647629	0.0	0.83585304	0.0	0.0	0.0	0.41741124	0.0	0.11597899	0.0	0.6456902	0.8991089	0.20177558	0.2916525	1.1147242	0.0	0.8462724	0.73123103	0.0	0.0	0.0	0.0	0.118706405	0.0	0.759385	0.0
TCGA-06-2567-01	0.0	0.7700679	0.28743994	0.0	0.33111465	0.0	0.16406631	0.8338138	0.033000495	0.050183028	0.0	1.807154	0.3665026	0.35383686	0.330316	0.5566904	1.0056933	0.5341633	0.0	0.41170892	0.42117968	0.4345304	0.0	0.0	0.0	0.5639665	0.0	0.08867467	0.0	0.2690698	0.0	0.0	0.0	0.0	0.0	0.14808224	0.007438052	0.7871665	0.10906717	0.0	0.7873158	0.0	0.39712912	0.52628535	0.0	0.0	0.0	0.0
TCGA-27-2526-01	0.0	0.0	0.0	0.0	0.3196066	0.074912176	0.509037	0.0	0.0	0.0	0.0	1.165436	0.0	0.0	0.2854877	0.0	0.26341856	1.263046	0.0	0.0	0.0	0.0	0.91086835	0.050033577	0.0	1.1477643	0.0	0.0	0.044796806	0.38767058	0.8274614	0.0	1.39975	0.0	0.19987865	0.0	0.14247407	0.019666607	1.0081338	0.0	0.0	0.08878753	0.0	1.0777843	0.09434788	1.1924292	0.4889159	0.0
TCGA-28-2513-01	0.0	0.0	0.0	0.0	1.5231751	0.0	0.324067	0.7997017	0.0	0.0	0.041790437	0.41537717	0.0	0.0	0.0	0.0	0.0	1.1317424	0.32620862	0.0	0.4001092	0.4563343	0.07761668	0.12316557	0.6602533	0.0	0.0	0.0	0.07926946	0.0	0.32528532	0.0	0.34244138	0.14111122	0.026454609	0.03683193	0.93779254	0.24667874	1.2339487	0.09492342	0.0	0.5469696	0.0	0.0	0.0	0.0	0.76036584	0.0
TCGA-32-2615-01	0.0	0.0	0.50833184	0.0	0.0	0.0	0.0	0.21734643	0.88495904	0.71129364	0.0	0.16629693	0.0	0.47412556	0.15959992	0.30831072	0.0	0.0	0.0	0.6380015	0.0	0.0	0.65746605	0.10875336	0.0	0.38425317	0.451229	0.0	0.0	0.8339092	0.9176433	0.8256728	0.36229193	0.0	0.0	0.431927	0.0	0.3526705	0.0	0.0	0.0	0.08051343	1.6755174	1.10602	0.9881437	0.66886455	0.11171637	0.0
TCGA-27-1834-01	0.23855112	0.0	0.7090311	0.0	0.5430544	0.0	0.2550353	0.0	0.0	0.0	0.0	0.5487896	2.0248766	0.0	0.0	1.5355192	1.4362293	0.0	0.0	0.0	0.0	0.0	2.2459042	0.0	0.39138302	0.0	0.28492588	0.0	0.94292617	0.20071763	0.0	0.0	0.24718256	0.0	0.0	0.0	0.0	1.0389593	1.5503694	0.39441234	0.0	0.0	0.0	0.51253563	1.3131409	0.15803736	1.6048969	0.0
TCGA-14-0787-01	0.57506627	0.17074655	0.21043324	0.0	0.0	0.0	1.1031108	0.81858695	0.0	0.0	0.0	0.8977031	0.35193482	0.5822193	0.0	0.72587866	0.64786696	0.33031815	0.0	0.0	0.0	0.358848	0.46306005	0.29621404	0.24009602	0.88923067	0.0	0.0	0.61065763	0.0	0.0	0.0	0.0	0.0	0.050628874	0.0	0.13756667	0.0	0.097192116	0.01690452	0.0	0.2516614	0.0	0.0	0.022613792	0.0	0.026611008	0.0
TCGA-06-5418-01	0.0	0.0	0.0	0.0	0.74052906	0.0	0.24598582	0.61909854	0.6483489	0.31687987	0.0	1.352434	0.10352611	0.0	0.18652429	1.059321	0.30601847	0.017654419	0.31066766	0.22240306	0.0	0.0	0.40430984	0.0	0.0	0.6317226	0.0	0.4966046	0.84846276	0.108289	0.76057595	0.0	0.030537445	0.19920006	0.0	0.17092493	0.066826396	0.8923529	0.002687096	0.07605257	0.0	0.49074665	0.34529254	0.8458083	0.0	0.0	1.055922	0.30064845
TCGA-12-5295-01	9.627065e-05	0.0	0.0	0.7002564	0.9365828	0.0	0.8517832	0.20457055	0.0	0.0	0.7755038	1.757743	0.0	0.26566187	0.64590234	0.8179964	0.0	0.62594473	0.15634857	0.0	0.0	0.0	0.81195056	0.0	0.7478636	0.0	0.0	0.0	0.6450038	0.5990426	1.3587158	0.0	1.7420512	0.0	0.1427936	0.0	0.0	0.48762116	0.4251372	0.0	0.0	0.0	0.0	0.61894053	0.0	0.59520733	0.47699767	0.0
