trial_id,ts,DATA.SELECT_TOP_VAR.per_modality_k.rna,DATA.SELECT_TOP_VAR.per_modality_k.cnv,DATA.TAKE_INTERSECTION,DATA.ZSCORE,SNF.K,SNF.T,AE.HIDDEN,AE.LATENT_PER_MODAL,AE.DROPOUT,AE.LR,AE.WEIGHT_DECAY,GCN.HIDDEN,GCN.LAYERS,GCN.ALPHA,GCN.DROPOUT,GCN.LR,GCN.WEIGHT_DECAY,GCN.LABEL_SMOOTHING,GCN.CLASS_WEIGHTED_CE,GCN.EARLY_STOP,GCN.EARLY_STOP_PATIENCE,EXPERIMENT.TRAIN_RATIO,TRAIN.VAL_RATIO,acc_mean,acc_std,f1_mean,f1_std
T0051,2025-09-23 05:57:55,12,12,256,40,0.3,0.0005,0.0005,128,2,0.05,0.3,0.001,0.001,0.01,False,True,80,0.85,0.15,0.6848,0.0739,0.6639,0.0761
T0052,2025-09-23 05:58:08,10,18,1024,56,0.3,0.001,0.001,96,2,0.05,0.35,0.001,0.001,0.0,False,True,80,0.75,0.1,0.6757,0.071,0.6462,0.078
T0053,2025-09-23 05:58:23,6,15,1024,40,0.3,0.001,0.001,128,3,0.2,0.45,0.0012,0.0005,0.01,True,True,80,0.75,0.15,0.6878,0.0813,0.6671,0.0841
T0054,2025-09-23 05:58:40,6,15,1024,48,0.3,0.001,0.001,160,4,0.05,0.4,0.0008,0.001,0.02,False,True,80,0.85,0.1,0.6696,0.0758,0.6487,0.089
T0055,2025-09-23 05:58:57,12,10,1024,48,0.1,0.001,0.0005,128,3,0.1,0.3,0.0008,0.0007,0.02,True,True,80,0.85,0.15,0.6522,0.0645,0.6382,0.0678
T0056,2025-09-23 05:59:14,12,18,512,56,0.1,0.0005,0.001,128,2,0.2,0.45,0.0012,0.0003,0.01,False,True,80,0.75,0.15,0.7095,0.0744,0.6802,0.0814
T0057,2025-09-23 05:59:27,6,10,512,56,0.2,0.0005,0.0005,96,2,0.05,0.4,0.0008,0.0007,0.02,False,True,80,0.85,0.1,0.7152,0.0558,0.6878,0.0717
T0058,2025-09-23 05:59:43,10,15,512,40,0.3,0.001,0.0001,96,3,0.05,0.3,0.0008,0.0005,0.02,False,True,80,0.75,0.15,0.6554,0.0744,0.6258,0.0933
T0059,2025-09-23 05:59:59,10,10,1024,40,0.3,0.001,0.001,160,4,0.05,0.3,0.001,0.001,0.01,False,True,80,0.85,0.1,0.6652,0.086,0.6397,0.0956
T0060,2025-09-23 06:00:17,6,10,1024,64,0.2,0.0005,0.0005,96,4,0.05,0.45,0.0012,0.0007,0.0,True,True,80,0.75,0.1,0.6608,0.0676,0.6416,0.0697
T0061,2025-09-23 06:00:34,6,10,256,48,0.3,0.0005,0.0001,160,3,0.05,0.4,0.001,0.0001,0.02,False,True,80,0.85,0.1,0.6978,0.0807,0.6762,0.089
T0062,2025-09-23 06:00:48,8,18,1024,40,0.2,0.001,0.0001,160,4,0.05,0.4,0.0012,0.0007,0.01,True,True,80,0.85,0.15,0.6565,0.0835,0.6388,0.0942
T0063,2025-09-23 06:01:06,12,10,512,64,0.1,0.001,0.0005,160,2,0.2,0.35,0.0012,0.0001,0.02,False,True,80,0.75,0.15,0.6649,0.0865,0.6323,0.0999
T0064,2025-09-23 06:01:20,6,18,256,48,0.3,0.001,0.0001,96,3,0.2,0.3,0.001,0.001,0.01,False,True,80,0.8,0.15,0.6517,0.0572,0.6278,0.0593
T0065,2025-09-23 06:01:35,12,18,512,40,0.1,0.0005,0.0005,160,2,0.2,0.45,0.001,0.0001,0.0,True,True,80,0.8,0.1,0.71,0.0907,0.6923,0.0942
T0066,2025-09-23 06:01:49,8,12,256,64,0.3,0.0005,0.001,192,4,0.1,0.45,0.001,0.0005,0.02,False,True,80,0.85,0.1,0.6891,0.0828,0.671,0.0895
T0067,2025-09-23 06:02:04,8,18,512,64,0.3,0.001,0.001,192,2,0.1,0.3,0.0008,0.0001,0.01,False,True,80,0.75,0.15,0.677,0.0654,0.6504,0.0695
T0068,2025-09-23 06:02:19,8,15,512,64,0.2,0.001,0.0001,160,2,0.1,0.35,0.001,0.0003,0.02,True,True,80,0.85,0.15,0.6457,0.0705,0.6312,0.0772
T0069,2025-09-23 06:02:34,6,10,512,64,0.2,0.0005,0.001,192,2,0.05,0.3,0.0012,0.0005,0.02,True,True,80,0.8,0.15,0.6967,0.0752,0.6807,0.0732
T0070,2025-09-23 06:02:48,12,12,1024,64,0.3,0.001,0.0005,192,2,0.1,0.4,0.0008,0.0001,0.01,True,True,80,0.75,0.15,0.6649,0.0737,0.6389,0.0837
