u,v,rho,pval
TCGA-02-0009-01,TCGA-02-0116-01,0.6726044270493543,0.0
TCGA-02-0009-01,TCGA-02-0260-01,0.6980498219266414,0.0
TCGA-02-0009-01,TCGA-02-0285-01,0.6469779537629192,0.0
TCGA-02-0009-01,TCGA-02-0289-01,0.6169772183051287,0.0
TCGA-02-0009-01,TCGA-02-0290-01,0.6763382796588328,0.0
TCGA-02-0009-01,TCGA-02-0337-01,0.7128993024962541,0.0
TCGA-02-0009-01,TCGA-02-0430-01,0.6995591485484743,0.0
TCGA-02-0009-01,TCGA-02-2485-01,0.6752718284763167,0.0
TCGA-02-0009-01,TCGA-02-2486-01,0.6403162939576735,0.0
TCGA-02-0009-01,TCGA-06-0119-01,0.6637128305649281,0.0
TCGA-02-0009-01,TCGA-06-0121-01,0.6611715905748378,0.0
TCGA-02-0009-01,TCGA-06-0124-01,0.6782033607121365,0.0
TCGA-02-0009-01,TCGA-06-0125-01,0.6622130786656085,0.0
TCGA-02-0009-01,TCGA-06-0126-01,0.6761051281579304,0.0
TCGA-02-0009-01,TCGA-06-0132-01,0.6663653891177406,0.0
TCGA-02-0009-01,TCGA-06-0137-01,0.6786551028951862,0.0
TCGA-02-0009-01,TCGA-06-0139-01,0.6169979653691949,0.0
TCGA-02-0009-01,TCGA-06-0145-01,0.6843444863726558,0.0
TCGA-02-0009-01,TCGA-06-0150-01,0.6861279546251756,0.0
TCGA-02-0009-01,TCGA-06-0155-01,0.7442448230667668,0.0
TCGA-02-0009-01,TCGA-06-0157-01,0.6170197818158789,0.0
TCGA-02-0009-01,TCGA-06-0164-01,0.6279695433944257,0.0
TCGA-02-0009-01,TCGA-06-0179-01,0.7040498195556304,0.0
TCGA-02-0009-01,TCGA-06-0201-01,0.7164511171673276,0.0
TCGA-02-0009-01,TCGA-06-0208-01,0.6589769391393699,0.0
TCGA-02-0009-01,TCGA-06-0394-01,0.6994987162757076,0.0
TCGA-02-0009-01,TCGA-06-0650-01,0.7596705469653008,0.0
TCGA-02-0009-01,TCGA-06-0744-01,0.6320869010646841,0.0
TCGA-02-0009-01,TCGA-06-0749-01,0.6708527891335571,0.0
TCGA-02-0009-01,TCGA-06-0879-01,0.7303228085047714,0.0
TCGA-02-0009-01,TCGA-06-0882-01,0.6197283634810896,0.0
TCGA-02-0009-01,TCGA-06-2563-01,0.6613052895918353,0.0
TCGA-02-0009-01,TCGA-06-5414-01,0.6689857044556763,0.0
TCGA-02-0009-01,TCGA-06-6388-01,0.6708877852850442,0.0
TCGA-02-0009-01,TCGA-06-6695-01,0.6622216774238289,0.0
TCGA-02-0009-01,TCGA-06-6699-01,0.6596404949007816,0.0
TCGA-02-0009-01,TCGA-06-A6S0-01,0.6171449262348967,0.0
TCGA-02-0009-01,TCGA-08-0347-01,0.6904307398051375,0.0
TCGA-02-0009-01,TCGA-08-0352-01,0.6665227538506752,0.0
TCGA-02-0009-01,TCGA-08-0356-01,0.6880373346569635,0.0
TCGA-02-0009-01,TCGA-08-0357-01,0.6360857827022968,0.0
TCGA-02-0009-01,TCGA-08-0375-01,0.6206258296583096,0.0
TCGA-02-0009-01,TCGA-08-0509-01,0.8668084685856308,0.0
TCGA-02-0009-01,TCGA-08-0525-01,0.6094151500660284,0.0
TCGA-02-0009-01,TCGA-08-0529-01,0.6859346228919819,0.0
TCGA-02-0009-01,TCGA-12-0657-01,0.653625730590441,0.0
TCGA-02-0009-01,TCGA-12-0688-01,0.6742947324138074,0.0
TCGA-02-0009-01,TCGA-12-0703-01,0.6752539843101819,0.0
TCGA-02-0009-01,TCGA-12-0707-01,0.6071193888460676,0.0
TCGA-02-0009-01,TCGA-12-0769-01,0.6473254012194348,0.0
TCGA-02-0009-01,TCGA-12-0780-01,0.6613173161598861,0.0
TCGA-02-0009-01,TCGA-12-0829-01,0.6558785731766301,0.0
TCGA-02-0009-01,TCGA-12-1599-01,0.7544488638698167,0.0
TCGA-02-0009-01,TCGA-12-3649-01,0.6262370993663239,0.0
TCGA-02-0009-01,TCGA-12-3650-01,0.734235383160125,0.0
TCGA-02-0009-01,TCGA-14-0781-01,0.6647094664843772,0.0
TCGA-02-0009-01,TCGA-14-0786-01,0.6063203499572354,0.0
TCGA-02-0009-01,TCGA-14-0789-01,0.7438566107079131,0.0
TCGA-02-0009-01,TCGA-14-0866-01,0.7026460484512568,0.0
TCGA-02-0009-01,TCGA-14-1401-01,0.6321519771388655,0.0
TCGA-02-0009-01,TCGA-14-1450-01,0.6476954660378736,0.0
TCGA-02-0009-01,TCGA-14-1795-01,0.6249754163846145,0.0
TCGA-02-0009-01,TCGA-14-1829-01,0.6277257073672904,0.0
TCGA-02-0009-01,TCGA-14-2554-01,0.6123866251695738,0.0
TCGA-02-0009-01,TCGA-14-2555-01,0.6779329222775198,0.0
TCGA-02-0009-01,TCGA-15-1446-01,0.7354937856884383,0.0
TCGA-02-0009-01,TCGA-16-1055-01,0.6921627262421112,0.0
TCGA-02-0009-01,TCGA-16-1062-01,0.7063748393901481,0.0
TCGA-02-0009-01,TCGA-19-1386-01,0.6822579885426939,0.0
TCGA-02-0009-01,TCGA-19-1389-01,0.6277545845271233,0.0
TCGA-02-0009-01,TCGA-19-2624-01,0.6229795121257553,0.0
TCGA-02-0009-01,TCGA-19-5950-01,0.6695138677647723,0.0
TCGA-02-0009-01,TCGA-19-5953-01,0.8242732289217705,0.0
TCGA-02-0009-01,TCGA-19-5955-01,0.7860388054550682,0.0
TCGA-02-0009-01,TCGA-26-1799-01,0.6408800743493911,0.0
TCGA-02-0009-01,TCGA-26-5135-01,0.6346768530027627,0.0
TCGA-02-0009-01,TCGA-26-5139-01,0.7556819882023742,0.0
TCGA-02-0009-01,TCGA-26-A7UX-01,0.6118849939908654,0.0
TCGA-02-0009-01,TCGA-27-1833-01,0.6567190556160464,0.0
TCGA-02-0009-01,TCGA-27-2518-01,0.7259268060557926,0.0
TCGA-02-0009-01,TCGA-27-2524-01,0.637148303054723,0.0
TCGA-02-0009-01,TCGA-28-1749-01,0.6871538422999839,0.0
TCGA-02-0009-01,TCGA-28-1751-01,0.6389151980769178,0.0
TCGA-02-0009-01,TCGA-28-1753-01,0.7408125068649445,0.0
TCGA-02-0009-01,TCGA-28-1755-01,0.6469521674336488,0.0
TCGA-02-0009-01,TCGA-28-2501-01,0.6405389887772862,0.0
TCGA-02-0009-01,TCGA-28-2513-01,0.6571472368534259,0.0
TCGA-02-0009-01,TCGA-28-5209-01,0.626291227411327,0.0
TCGA-02-0009-01,TCGA-32-1982-01,0.732070026686196,0.0
TCGA-02-0009-01,TCGA-32-2638-01,0.6817261370727457,0.0
TCGA-02-0009-01,TCGA-41-3393-01,0.6698635176000173,0.0
TCGA-02-0009-01,TCGA-4W-AA9T-01,0.704922009049489,0.0
TCGA-02-0009-01,TCGA-74-6578-01,0.7476360733282107,0.0
TCGA-02-0009-01,TCGA-76-6192-01,0.6492322026664128,0.0
TCGA-02-0009-01,TCGA-76-6656-01,0.6292353075704172,0.0
TCGA-02-0009-01,TCGA-76-6663-01,0.7517451850616576,0.0
TCGA-02-0009-01,TCGA-81-5910-01,0.6032530249163934,0.0
TCGA-02-0009-01,TCGA-81-5911-01,0.6504971152485315,0.0
TCGA-02-0009-01,TCGA-87-5896-01,0.6841735985335997,0.0
TCGA-02-0009-01,TCGA-RR-A6KC-01,0.6964069003542321,0.0
TCGA-02-0015-01,TCGA-02-0043-01,0.649385456612937,0.0
TCGA-02-0015-01,TCGA-02-0057-01,0.6634575370319749,0.0
TCGA-02-0015-01,TCGA-06-0125-01,0.6067957517448,0.0
TCGA-02-0015-01,TCGA-06-0126-01,0.6054036992123716,0.0
TCGA-02-0015-01,TCGA-06-0150-01,0.6361733838556848,0.0
TCGA-02-0015-01,TCGA-06-0179-01,0.6085056214735558,0.0
TCGA-02-0015-01,TCGA-06-6695-01,0.6071611327506264,0.0
TCGA-02-0015-01,TCGA-08-0356-01,0.6004949040487132,0.0
TCGA-02-0015-01,TCGA-12-0688-01,0.6093803364250092,0.0
TCGA-02-0015-01,TCGA-12-0707-01,0.6108093974098512,0.0
TCGA-02-0015-01,TCGA-12-0780-01,0.6267870740494995,0.0
TCGA-02-0015-01,TCGA-12-0820-01,0.6248291103371097,0.0
TCGA-02-0015-01,TCGA-14-0866-01,0.6092664133009266,0.0
TCGA-02-0015-01,TCGA-19-1386-01,0.613626996338942,0.0
TCGA-02-0015-01,TCGA-19-5950-01,0.6013369571671394,0.0
TCGA-02-0015-01,TCGA-19-5958-01,0.6439178111011455,0.0
TCGA-02-0015-01,TCGA-27-1833-01,0.6282219671316752,0.0
TCGA-02-0015-01,TCGA-32-2638-01,0.6166298008685838,0.0
TCGA-02-0015-01,TCGA-41-3393-01,0.6044536822803167,0.0
TCGA-02-0015-01,TCGA-RR-A6KC-01,0.6070611156358929,0.0
TCGA-02-0016-01,TCGA-02-0021-01,0.6192601605140182,0.0
TCGA-02-0016-01,TCGA-02-0027-01,0.6257269819854169,0.0
TCGA-02-0016-01,TCGA-02-0037-01,0.6451057272243509,0.0
TCGA-02-0016-01,TCGA-02-0038-01,0.6391230142703557,0.0
TCGA-02-0016-01,TCGA-02-0043-01,0.6886536866273193,0.0
TCGA-02-0016-01,TCGA-02-0057-01,0.7135279339453274,0.0
TCGA-02-0016-01,TCGA-02-0089-01,0.6593708030687728,0.0
TCGA-02-0016-01,TCGA-02-0107-01,0.724838780957508,0.0
TCGA-02-0016-01,TCGA-02-0116-01,0.6303655597817815,0.0
TCGA-02-0016-01,TCGA-02-0290-01,0.6159794398597614,0.0
TCGA-02-0016-01,TCGA-06-0119-01,0.6984357250455594,0.0
TCGA-02-0016-01,TCGA-06-0125-01,0.633271102424255,0.0
TCGA-02-0016-01,TCGA-06-0126-01,0.6378320571623386,0.0
TCGA-02-0016-01,TCGA-06-0137-01,0.6282089008132667,0.0
TCGA-02-0016-01,TCGA-06-0141-01,0.685294769678951,0.0
TCGA-02-0016-01,TCGA-06-0143-01,0.6131560535137033,0.0
TCGA-02-0016-01,TCGA-06-0150-01,0.6923020766322838,0.0
TCGA-02-0016-01,TCGA-06-0154-01,0.6652164251556772,0.0
TCGA-02-0016-01,TCGA-06-0169-01,0.6506153894600397,0.0
TCGA-02-0016-01,TCGA-06-0173-01,0.6432012495748618,0.0
TCGA-02-0016-01,TCGA-06-0179-01,0.6695481940664071,0.0
TCGA-02-0016-01,TCGA-06-0194-01,0.6749184343026504,0.0
TCGA-02-0016-01,TCGA-06-0210-01,0.6788220979422683,0.0
TCGA-02-0016-01,TCGA-06-0211-01,0.6067453697666182,0.0
TCGA-02-0016-01,TCGA-06-0241-01,0.6114886086593367,0.0
TCGA-02-0016-01,TCGA-06-0412-01,0.6543280687847572,0.0
TCGA-02-0016-01,TCGA-06-0745-01,0.7042961851022852,0.0
TCGA-02-0016-01,TCGA-06-0747-01,0.6242332862036759,0.0
TCGA-02-0016-01,TCGA-06-0882-01,0.609953405888553,0.0
TCGA-02-0016-01,TCGA-06-5412-01,0.6475291686489919,0.0
TCGA-02-0016-01,TCGA-06-5414-01,0.6338955312984663,0.0
TCGA-02-0016-01,TCGA-06-6388-01,0.6787311395517872,0.0
TCGA-02-0016-01,TCGA-06-6695-01,0.6588953627169026,0.0
TCGA-02-0016-01,TCGA-06-6697-01,0.679984283108146,0.0
TCGA-02-0016-01,TCGA-06-6699-01,0.6521797370475503,0.0
TCGA-02-0016-01,TCGA-06-A6S1-01,0.6082905692467133,0.0
TCGA-02-0016-01,TCGA-08-0352-01,0.629123244794936,0.0
